City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
184,waitati,100,NZ,1571088458,84,-45.75,170.57,10.56,11.18
185,beloha,44,MG,1571088467,72,-25.17,45.06,22.91,8.278
186,rocha,100,UY,1571088475,77,-34.48,-54.34,8.55,4.618
187,yellowknife,90,CA,1571088484,49,62.45,-114.38,0.0,1.319
188,saint-pierre,100,FR,1571088492,82,48.95,4.24,19.0,4.1
189,dhidhdhoo,39,MV,1571088500,71,6.88,73.1,28.28,2.334
190,wagar,97,US,1571088509,90,31.44,-87.99,22.22,1.328
191,gaborone,0,BW,1571088517,31,-24.66,25.91,26.0,5.1
192,laguna,90,BZ,1571088526,94,16.17,-88.94,26.0,2.1
193,dikson,87,RU,1571088535,88,73.51,80.55,-3.32,10.389
194,kavaratti,76,IN,1571088543,70,10.57,72.64,28.49,1.182
195,piacabucu,0,BR,1571088552,73,-10.41,-36.43,24.64,4.09
196,deogarh,67,IN,1571088560,80,21.53,84.72,20.61,1.334
197,beidao,100,CN,1571088568,85,34.57,105.89,10.35,1.14
198,santa maria,40,BR,1571088577,19,-16.02,-48.01,31.0,3.6
199,batsfjord,75,NO,1571088585,86,70.63,29.72,1.0,3.1
200,bubaque,32,GW,1571088594,75,11.28,-15.83,28.38,5.29
201,marion,1,US,1571088602,46,35.21,-90.2,22.22,3.6
202,athabasca,100,CA,1571088610,86,54.72,-113.29,1.48,3.973
203,yulara,28,AU,1571088619,22,-25.24,130.99,25.0,3.6
204,marigot,40,HT,1571088627,59,18.23,-72.32,32.0,5.1
205,hovd,0,NO,1571088638,92,63.83,10.7,6.11,3.6
206,cedar city,1,US,1571088646,16,37.68,-113.06,19.44,4.366
207,itarema,29,BR,1571088654,61,-2.92,-39.92,26.42,5.571
208,panaba,95,MX,1571088663,67,21.28,-88.27,30.11,5.466
209,erenhot,0,CN,1571088671,29,43.65,111.97,1.92,2.548
210,kondinskoye,99,RU,1571088680,95,59.65,67.41,5.73,3.91
211,ariquemes,96,BR,1571088688,67,-9.91,-63.03,28.52,0.605
212,mount gambier,90,AU,1571088697,93,-37.83,140.78,11.0,1.5
213,phan thiet,100,VN,1571088705,87,10.93,108.1,22.15,1.015
214,mari-turek,100,RU,1571088714,84,56.79,49.62,5.38,2.867
215,tobermory,76,CA,1571088722,65,45.25,-81.67,8.33,1.34
